t=8883.64s | axis_2 | error → normal | residual=-4.59
t=8893.12s | axis_2 | normal → alert | residual=12.38
t=8895.07s | axis_2 | alert → normal | residual=1.57
t=8986.85s | axis_2 | normal → alert | residual=19.66
t=8990.66s | axis_2 | alert → normal | residual=1.86
t=8998.58s | axis_2 | normal → error | residual=29.93
t=9000.43s | axis_2 | error → normal | residual=2.52
t=9050.16s | axis_2 | normal → error | residual=28.46
t=9052.05s | axis_2 | error → normal | residual=1.33
t=9091.58s | axis_2 | normal → alert | residual=18.18
t=9093.56s | axis_2 | alert → normal | residual=1.62
t=9101.17s | axis_2 | normal → error | residual=32.07
t=9103.00s | axis_2 | error → normal | residual=9.97
t=9152.48s | axis_2 | normal → alert | residual=14.40
t=9154.37s | axis_2 | alert → normal | residual=-5.24
t=9203.64s | axis_2 | normal → alert | residual=12.71
t=9207.54s | axis_2 | alert → normal | residual=-5.50
t=9308.25s | axis_2 | normal → alert | residual=15.12
t=9310.20s | axis_2 | alert → normal | residual=-5.07
t=9348.03s | axis_2 | normal → error | residual=34.10
t=9349.93s | axis_2 | error → normal | residual=-8.61
t=9363.37s | axis_2 | normal → alert | residual=16.37
t=9367.30s | axis_2 | alert → normal | residual=-9.49
t=9403.25s | axis_2 | normal → alert | residual=17.27
t=9407.15s | axis_2 | alert → normal | residual=0.10
t=9463.77s | axis_2 | normal → alert | residual=17.99
t=9465.67s | axis_2 | alert → normal | residual=-7.68
t=9473.22s | axis_2 | normal → alert | residual=17.54
t=9474.99s | axis_2 | alert → normal | residual=1.23
t=9478.77s | axis_2 | normal → error | residual=27.86
t=9480.74s | axis_2 | error → normal | residual=-4.86
t=9594.59s | axis_2 | normal → error | residual=21.61
t=9596.46s | axis_2 | error → normal | residual=1.19
t=9655.49s | axis_2 | normal → alert | residual=15.97
t=9657.43s | axis_2 | alert → normal | residual=9.87
t=9765.72s | axis_2 | normal → alert | residual=15.02
t=9771.53s | axis_2 | alert → normal | residual=3.23
t=9773.42s | axis_2 | normal → alert | residual=10.12
t=9775.34s | axis_2 | alert → normal | residual=3.23
t=9813.24s | axis_2 | normal → alert | residual=11.96
t=9817.03s | axis_2 | alert → normal | residual=1.29
t=9824.70s | axis_2 | normal → error | residual=25.61
t=9826.68s | axis_2 | error → normal | residual=8.94
t=10154.33s | axis_2 | normal → error | residual=31.92
t=10159.94s | axis_2 | error → normal | residual=-5.47
t=10169.62s | axis_2 | normal → alert | residual=18.34
t=10171.60s | axis_2 | alert → normal | residual=3.90
t=10198.05s | axis_2 | normal → alert | residual=12.05
t=10199.98s | axis_2 | alert → normal | residual=-0.42
t=10262.58s | axis_2 | normal → alert | residual=10.43
t=10264.48s | axis_2 | alert → normal | residual=1.10
t=10266.38s | axis_2 | normal → alert | residual=17.47
t=10268.26s | axis_2 | alert → normal | residual=1.47
t=10272.12s | axis_2 | normal → error | residual=22.20
t=10274.04s | axis_2 | error → alert | residual=18.48
t=10275.96s | axis_2 | alert → normal | residual=-6.98
t=10318.11s | axis_2 | normal → error | residual=31.33
t=10320.04s | axis_2 | error → normal | residual=1.80
t=10321.98s | axis_2 | normal → alert | residual=10.40
t=10323.85s | axis_2 | alert → error | residual=27.89
t=10325.76s | axis_2 | error → normal | residual=-0.52
t=10354.14s | axis_2 | normal → alert | residual=11.12
t=10356.06s | axis_2 | alert → normal | residual=-4.32
t=10363.72s | axis_2 | normal → error | residual=20.87
t=10365.60s | axis_2 | error → normal | residual=2.10
t=10456.63s | axis_2 | normal → alert | residual=11.70
t=10458.44s | axis_2 | alert → normal | residual=-0.42
t=10464.22s | axis_2 | normal → alert | residual=12.72
t=10466.17s | axis_2 | alert → normal | residual=-7.84
t=10622.64s | axis_2 | normal → alert | residual=14.17
t=10624.56s | axis_2 | alert → normal | residual=1.64
t=10628.39s | axis_2 | normal → alert | residual=10.04
t=10630.33s | axis_2 | alert → normal | residual=-5.74
t=10632.22s | axis_2 | normal → alert | residual=15.49
t=10634.11s | axis_2 | alert → normal | residual=9.97
t=10679.41s | axis_2 | normal → alert | residual=10.63
t=10681.37s | axis_2 | alert → normal | residual=0.89
t=10844.38s | axis_2 | normal → alert | residual=12.89
t=10846.34s | axis_2 | alert → normal | residual=7.34
t=10952.88s | axis_2 | normal → error | residual=20.50
t=10954.74s | axis_2 | error → normal | residual=-5.18
t=10964.45s | axis_2 | normal → error | residual=29.99
t=10966.32s | axis_2 | error → normal | residual=-0.50
t=10994.78s | axis_2 | normal → alert | residual=14.71
t=10996.80s | axis_2 | alert → normal | residual=1.35
t=11014.02s | axis_2 | normal → alert | residual=10.57
t=11015.98s | axis_2 | alert → error | residual=39.88
t=11017.94s | axis_2 | error → alert | residual=18.41
t=11019.89s | axis_2 | alert → normal | residual=-6.25
t=11158.15s | axis_2 | normal → error | residual=20.46
t=11160.08s | axis_2 | error → normal | residual=1.22
t=11218.83s | axis_2 | normal → alert | residual=10.53
t=11220.84s | axis_2 | alert → normal | residual=1.71
t=11228.59s | axis_2 | normal → alert | residual=16.06
t=11230.44s | axis_2 | alert → normal | residual=0.53
t=11285.84s | axis_2 | normal → alert | residual=11.86
t=11287.71s | axis_2 | alert → normal | residual=-3.80
t=11319.57s | axis_2 | normal → alert | residual=13.24
t=11321.50s | axis_2 | alert → normal | residual=-1.49
t=11331.02s | axis_2 | normal → alert | residual=15.94
t=11334.82s | axis_2 | alert → normal | residual=1.45
t=11382.26s | axis_2 | normal → alert | residual=18.96
t=11384.09s | axis_2 | alert → normal | residual=1.95
t=11395.76s | axis_2 | normal → alert | residual=11.69
t=11397.72s | axis_2 | alert → normal | residual=0.36
t=11513.34s | axis_2 | normal → error | residual=34.86
t=11515.28s | axis_2 | error → normal | residual=1.35
t=11518.98s | axis_2 | normal → error | residual=25.15
t=11520.75s | axis_2 | error → normal | residual=-7.17
t=11573.90s | axis_2 | normal → alert | residual=10.21
t=11575.78s | axis_2 | alert → normal | residual=1.69
t=11581.59s | axis_2 | normal → error | residual=27.51
t=11583.48s | axis_2 | error → normal | residual=1.10
t=11593.01s | axis_2 | normal → alert | residual=11.43
t=11594.93s | axis_2 | alert → normal | residual=1.55
t=11674.58s | axis_2 | normal → alert | residual=14.95
t=11676.42s | axis_2 | alert → normal | residual=0.62
t=11678.26s | axis_2 | normal → alert | residual=10.16
t=11680.19s | axis_2 | alert → normal | residual=3.56
t=11740.52s | axis_2 | normal → error | residual=20.75
t=11742.48s | axis_2 | error → normal | residual=-9.38
t=18484.17s | axis_2 | normal → error | residual=20.75
t=18486.06s | axis_2 | error → normal | residual=-6.65
t=18632.31s | axis_2 | normal → alert | residual=12.75
t=18634.22s | axis_2 | alert → normal | residual=-1.82
t=18637.96s | axis_2 | normal → alert | residual=11.09
t=18639.80s | axis_2 | alert → normal | residual=-7.19
t=18685.22s | axis_2 | normal → error | residual=21.34
t=18691.64s | axis_2 | error → normal | residual=6.82
t=18697.31s | axis_2 | normal → alert | residual=17.48
t=18699.18s | axis_2 | alert → normal | residual=2.58
t=18731.74s | axis_2 | normal → alert | residual=19.56
t=18733.66s | axis_2 | alert → normal | residual=0.74
t=18741.54s | axis_2 | normal → alert | residual=15.59
t=18743.47s | axis_2 | alert → normal | residual=0.99
t=18749.11s | axis_2 | normal → alert | residual=12.30
t=18751.03s | axis_2 | alert → normal | residual=-3.97
t=18790.85s | axis_2 | normal → alert | residual=14.89
t=18792.74s | axis_2 | alert → normal | residual=6.62
t=18802.40s | axis_2 | normal → error | residual=24.74
t=18804.33s | axis_2 | error → alert | residual=10.92
t=18806.19s | axis_2 | alert → normal | residual=-5.83
t=18893.15s | axis_2 | normal → error | residual=28.67
t=18895.10s | axis_2 | error → normal | residual=-8.43
t=19127.64s | axis_2 | normal → error | residual=36.68
t=19129.50s | axis_2 | error → normal | residual=1.30
t=19133.34s | axis_2 | normal → error | residual=30.02
t=19135.25s | axis_2 | error → normal | residual=-6.07
t=19237.59s | axis_2 | normal → alert | residual=12.92
t=19239.58s | axis_2 | alert → normal | residual=0.67
t=19252.72s | axis_2 | normal → alert | residual=16.74
t=19254.60s | axis_2 | alert → normal | residual=-1.21
t=19260.38s | axis_2 | normal → alert | residual=14.67
t=19262.22s | axis_2 | alert → normal | residual=9.68
